MarketTrendID,ProductGroupID,TrendName,TrendDescription,TrendDate,ImpactLevel,Region,StartDate,EndDate,CreatedBy,DateCreated,IsActive
12,5,Game Computer,Campaign do person there position stand begin officer nature protect moment action.,2023-12-24,Medium,Europe,2024-03-27,2024-06-10,Gloria Flores,2024-05-13,True
13,19,Moment Behavior,Form military table risk why support but write young paper people business why stage single western other pressure business inside.,2020-04-10,High,Africa,2024-06-02,2024-06-03,Linda Anderson,2024-06-17,False
14,9,Enjoy Trip,Figure security throw religious real develop Mrs peace course large that number I specific decade meet paper ball.,2021-02-03,Low,South America,2023-06-26,2023-07-01,Veronica Allen,2024-05-23,False
15,19,Total Than,Offer smile charge during trouble ready eye store alone best here want dinner community about off voice staff result.,2022-12-03,Low,Asia,2023-09-19,2024-05-22,Carrie Williams,2024-02-16,True
16,6,General Research,And bank go poor light war large blood worry least happen reveal fight evening poor school party.,2021-07-05,High,Africa,2024-05-23,2024-05-24,Paul Lopez,2024-06-07,True
17,19,Law Trip,Approach decision beautiful natural yes after thousand training side type.,2021-01-24,Low,Europe,2024-04-22,2024-05-26,Corey Bradley,2024-06-17,True
18,17,Must Whatever,Want major bad lot health mother suddenly life security bar moment.,2022-09-21,Medium,South America,2024-04-02,2024-05-25,Jacqueline Jones,2024-04-25,True
19,9,Talk Save,Technology interesting science where animal wrong believe animal spring part.,2021-08-13,Low,South America,2024-02-08,2024-03-24,Erin Nichols,2024-02-27,False
20,10,Leader Sport,Foot prevent receive beat social ball car realize read law.,2022-01-13,Low,South America,2023-09-18,2024-05-04,Jennifer Munoz,2023-12-28,True
21,9,Adult Today,Morning commercial pick beautiful fact term fight least organization parent different much share trial discuss poor.,2020-09-11,Low,Asia,2023-10-24,2024-05-23,Casey Bauer,2023-12-31,False
22,12,Will Sell,Brother nation century give fly us tend despite charge skill improve.,2020-09-26,Low,North America,2024-06-10,2024-06-10,Bradley Sanchez DVM,2024-06-11,False
23,2,International Yourself,Short they serious gun certain listen city weight remain often set drop later.,2022-07-25,High,Australia,2023-09-07,2023-12-13,Shelby Taylor,2023-11-04,True
24,2,Movie Toward,Open authority name suddenly too husband pressure program idea focus song politics prove happy through later purpose.,2023-09-05,High,Europe,2023-09-11,2023-10-07,Natalie Kidd,2024-04-11,False
25,4,Wind Night,School however environment federal know they explain figure couple region mean practice adult military practice.,2024-03-30,Medium,Australia,2023-10-31,2024-03-22,Garrett Ward,2024-05-06,True
26,3,Change Once,Might person enough later central rest wall subject also small tree treatment enter pick trade police way stuff.,2021-12-08,Medium,Australia,2024-05-22,2024-06-13,William Sanchez,2024-06-05,False
27,16,Here Life,Speech apply value write try box or usually bad whose.,2023-08-07,High,Asia,2023-06-26,2024-06-16,Tiffany Gibson,2024-03-28,True
28,18,Resource Drug,Me often site view resource from military even word score win your likely.,2020-01-12,High,South America,2024-02-09,2024-04-13,Dorothy Rodriguez,2024-04-04,True
29,19,House Choice,Him sport find thousand half sometimes least help realize itself shoulder crime choose personal fish.,2022-06-13,High,South America,2023-12-31,2024-04-12,Christine Jones,2024-04-22,True
30,12,Develop Guy,Citizen own society window crime yes suffer step big resource blood expect Mrs miss.,2022-08-08,Medium,North America,2024-04-27,2024-05-05,Samantha Collins,2024-04-28,False
31,18,His Send,Story hundred consumer large central high PM significant eight would.,2022-12-15,High,Africa,2023-11-21,2024-01-23,James Woods,2024-03-18,True
32,17,Remain Live,Affect this value they tonight will bar say race poor blue above as.,2022-08-25,Medium,Europe,2023-09-20,2024-01-30,Timothy Colon,2024-04-29,True
33,1,Offer East,Mrs when option just boy ask end five since address sell born herself matter including human.,2022-09-24,Low,North America,2023-09-17,2023-10-21,Kimberly Evans,2024-02-13,True
34,8,Customer Return,Against through from his college put city meeting past eat create score site tough four movie statement record movement suddenly.,2020-12-13,High,Australia,2023-11-20,2023-11-28,Megan Wheeler,2024-03-22,True
35,20,Scene But,Feeling son spend idea find finish case area ten drive camera specific else kind.,2023-03-10,Low,Australia,2023-11-21,2024-03-09,Rachel Soto,2024-05-04,True
36,7,Interview Nor,Last fall glass seem letter suggest yeah west fund move investment apply force although economic risk good.,2024-02-04,Medium,Asia,2023-12-28,2024-03-15,David Davis,2024-05-01,False
37,11,Key North,Heavy adult sister world high get today dark little.,2021-09-03,High,Africa,2024-02-21,2024-05-28,Scott Fields,2024-06-17,False
38,18,This The,Surface black case boy part particular style central party remember.,2021-06-22,Low,Asia,2024-02-06,2024-02-24,Dwayne Little,2024-05-28,False
39,18,Radio Character,Ability when window hair pressure stop she blue market.,2022-03-12,High,Australia,2024-03-09,2024-03-15,Taylor Duncan,2024-05-30,False
40,14,Hair Environment,Administration character light purpose institution build give another media.,2022-02-23,Medium,Asia,2023-10-03,2024-02-19,Robert Strong,2024-02-18,False
41,1,Star Message,Main often information sing idea people create determine who important visit rather significant teach.,2022-11-25,Low,Australia,2023-09-11,2023-12-12,Tiffany Harrison,2024-02-08,True
42,13,Police Film,Fact teacher walk so know a many modern market although meet accept democratic left financial sit there.,2020-09-25,High,Asia,2023-12-04,2023-12-27,Kenneth West,2024-03-01,True
43,10,Collection Reveal,Head style most industry part data near lose professor day prevent start this per.,2020-09-24,High,Asia,2023-10-05,2024-06-05,Christian Vance,2024-04-03,True
44,5,Part Successful,Best at red best sort pick song accept reduce community somebody.,2022-12-13,Medium,South America,2023-06-23,2023-09-03,Jonathan White,2024-06-13,True
45,14,Me Effort,Believe partner method practice own also fish impact interview report require thank good national son data even statement writer heavy.,2020-11-08,Low,Europe,2024-05-26,2024-06-12,Joshua Miller,2024-06-17,False
46,1,Interest Carry,Its table director out campaign responsibility five bring century send ago look loss within others consider address admit off.,2023-10-13,Medium,Europe,2023-12-26,2024-02-28,Candace Goodwin,2023-12-29,False
47,11,Phone Child,Travel class ago short line mother so religious agent blood apply probably energy serve enough miss arm.,2022-09-06,Medium,Australia,2023-11-25,2024-01-24,Sarah Sexton,2023-12-06,False
48,1,City Against,White travel establish position stop amount industry over book spend available impact.,2023-10-04,Medium,South America,2024-05-20,2024-05-31,Thomas Decker,2024-05-30,True
49,1,Police Officer,Son need charge manage speak affect get less land do simply recent build.,2022-05-12,Low,South America,2023-07-20,2023-09-01,Deborah Schwartz,2023-08-23,True
50,5,Point Develop,Authority garden have four sort through no bad well interest.,2024-01-05,High,North America,2023-08-01,2024-04-20,Jacob Lawson,2023-11-24,False
51,16,Certainly Generation,There whose field garden sometimes center rate inside than keep safe building figure sure yes ready boy try hotel.,2020-02-13,Medium,Africa,2023-12-02,2024-01-04,Stephanie Sanchez,2024-03-27,False
52,17,Country Among,Seven stock sing effect especially use foreign seek sell about up high recently against.,2022-10-27,High,Asia,2024-02-02,2024-04-25,Shawn Pitts,2024-02-24,False
53,2,Record Win,Order wind ten the large number imagine bit range election set piece bad.,2021-02-04,Low,Asia,2023-07-09,2024-06-07,Catherine Warner,2023-08-06,True
54,8,Join Personal,Arrive push seat foreign five war memory yet itself bit organization get.,2024-05-30,Medium,Africa,2023-11-02,2023-12-02,Robert Evans,2024-04-01,False
55,9,Front Three,Avoid federal present out himself order successful radio say staff successful girl social card either.,2022-02-08,Medium,Australia,2023-11-13,2024-05-26,James Myers,2024-04-29,True
56,12,Cultural Share,Own after help debate style tree natural might teach third show everyone drop very table agreement very can.,2022-02-13,Medium,Africa,2024-02-09,2024-02-17,Kristen Coffey,2024-03-05,True
57,15,Challenge Say,Traditional western cold country describe start class season city key none land beautiful we everyone.,2020-07-23,High,North America,2023-09-04,2024-04-05,Linda Turner,2024-03-03,True
58,13,Firm Partner,Full growth will know anyone stuff century subject down paper enough brother make usually card live.,2023-10-23,High,Asia,2024-03-05,2024-03-14,Chelsea Cortez,2024-06-09,True
59,2,Seat Agreement,Space firm rule brother stuff tree study sit person drug war eye Mrs.,2023-07-17,Low,Asia,2024-03-04,2024-03-20,Jordan Berry,2024-06-07,False
60,6,Food Son,Throw sell within style trial when black maybe head rock forget.,2021-06-05,High,Australia,2023-10-27,2023-11-26,Anna Jones,2024-04-21,False
61,15,Natural Free,Front perhaps meeting act candidate still that over service pick allow author expert wind whatever soldier our suggest still.,2021-10-14,Low,Asia,2024-04-13,2024-05-06,Derek Ingram,2024-04-21,False
62,7,Help One,Bar around most design work grow deal money practice crime item miss lead.,2020-08-01,Medium,Asia,2024-03-17,2024-03-31,Stephen Stewart,2024-06-07,False
63,14,Cold Sister,Explain suggest all expect major southern difficult too involve difference shake language do new tough cause amount girl push.,2020-08-26,High,South America,2023-10-14,2024-05-28,Renee Gomez,2023-12-04,True
64,13,Continue Little,New recently us push serve success first they professor this.,2023-08-28,Medium,Europe,2024-04-13,2024-05-06,Annette Perkins,2024-06-17,False
65,9,Really Evidence,Culture change standard couple seven stay activity foot customer most season wife yet goal huge development.,2022-06-16,High,Africa,2023-08-30,2023-11-16,Mark Mcgrath,2024-04-25,False
66,5,Around Office,Base company protect end remember fast give class shake century.,2020-10-25,Low,Europe,2024-05-01,2024-06-09,Amber Kelley,2024-05-11,False
67,10,Suffer Quality,Fire about current true should strategy member country heavy him nature fast better human get once lot president.,2022-08-13,Low,South America,2024-02-15,2024-06-16,Michele Mccarty,2024-04-11,True
68,10,Face Bill,Catch suddenly I factor great outside quality determine same agree how better spring eight.,2020-04-30,Medium,North America,2023-08-26,2024-01-04,Suzanne Frank,2024-04-25,True
69,1,Hair Factor,Report especially suggest century Congress time one seem state if.,2023-05-16,Medium,Europe,2024-05-26,2024-06-02,Brian Walker,2024-06-05,False
70,12,Key Those,Color name less soon walk TV purpose effort floor support eight media company manage he return likely.,2021-10-02,Low,Europe,2024-05-03,2024-06-14,Dave Johnson,2024-05-20,True
71,16,Job Pull,Especially development standard dinner Mr true newspaper interesting sport operation produce.,2021-09-26,High,South America,2024-02-01,2024-04-21,Michael Brown,2024-04-07,False
72,18,May Billion,Simple country both glass car thus fund fact small account upon general agreement owner item message history quickly.,2023-06-28,Low,Asia,2023-10-29,2023-12-20,Michele Adkins,2024-04-06,False
73,10,Several Factor,State single throughout direction measure father rich individual certainly prevent give boy successful majority husband produce decade notice write successful truth.,2023-10-24,High,South America,2023-06-29,2023-10-18,Jennifer Sanchez,2023-10-30,True
74,10,You Need,Sound election the either develop third something single reveal south fear most you.,2020-02-27,Low,Africa,2023-10-31,2023-11-07,David Lyons,2024-05-28,True
75,11,Receive Provide,Above care recently before western soldier test learn marriage foreign only how find century religious box.,2020-05-20,High,Australia,2023-07-22,2024-02-10,Angela Davis,2023-10-13,True
76,7,Key I,Set past act create group military drive gas accept some worker evening protect watch tell.,2023-06-21,Low,North America,2024-04-22,2024-05-10,Anthony Bradley,2024-04-22,True
77,1,Any Realize,At ability resource only candidate around analysis agree pressure.,2021-11-28,Medium,Africa,2024-02-25,2024-02-25,Joseph Frank,2024-04-09,True
78,18,Wonder At,Movement person with hear list standard choice best relationship big act including hit major step try.,2022-12-15,Medium,Europe,2024-01-22,2024-03-07,David Jones,2024-03-12,True
79,14,New Only,Its others interesting couple child system design six activity exactly.,2022-04-13,Medium,Asia,2024-04-23,2024-05-29,David Lang,2024-06-06,True
80,1,Rest You,Fear sea risk possible find take thank have raise glass member.,2022-12-31,Low,Asia,2023-07-22,2024-01-15,Tina Higgins,2024-02-21,False
81,5,Free Wide,Business back difference sing these drop moment phone short imagine individual investment stay.,2023-02-07,Medium,North America,2024-03-24,2024-04-06,Betty Sandoval,2024-06-06,False
82,6,Difficult Stage,My member southern more campaign within other set design article red finally unit structure military see price very authority.,2021-10-10,Medium,Africa,2024-05-12,2024-06-03,Randy Morris,2024-06-02,True
83,1,Cause Me,Party another everybody task question compare point group area professional religious water easy institution.,2020-09-22,Low,South America,2023-11-04,2024-03-06,Melanie Harding,2024-01-14,True
84,9,Style Raise,Nice class argue receive condition most walk local pick total on fact reason middle feeling foot.,2020-07-11,Low,Australia,2023-10-20,2023-12-09,Alexis Stone,2024-02-25,False
85,2,Section Step,Tree mind recently main issue game agree dream rule small today and.,2022-12-23,High,Africa,2024-05-14,2024-05-27,Doris Larson,2024-06-03,False
86,7,Available Generation,Interview project lose begin family time few might authority entire top country end responsibility rather fear view half figure break.,2023-09-11,High,Asia,2024-05-22,2024-05-22,Joanne Horton,2024-06-13,True
87,8,Strong Across,Keep reason first store arm sort campaign policy friend position occur arrive strong this.,2024-03-25,High,South America,2024-05-19,2024-05-26,Brittany Carpenter,2024-06-15,True
88,15,Social Ask,Build above at development continue human instead poor expect partner glass idea information support western look.,2022-03-31,Medium,Europe,2023-09-13,2024-03-24,Amy Good,2024-05-24,True
89,4,Assume Hot,Anything let Congress worker professor with data close more really.,2020-06-30,Low,Asia,2023-07-08,2023-11-30,Sheila Evans,2023-08-01,False
90,16,Society Beautiful,Tough part simply play order which capital number bed improve back image data thought voice exactly sell speak few.,2022-06-25,Low,Europe,2023-12-31,2024-01-17,Blake Peters,2024-06-08,False
91,17,Behavior Reach,Way no beautiful perhaps road computer provide best even career across point standard exist shoulder south benefit.,2021-11-24,High,Australia,2024-04-15,2024-06-13,Joseph Johnson,2024-06-09,True
92,12,Development Toward,Customer defense yes control huge pressure ability candidate if send lay everyone yeah week official leader college time in.,2021-11-27,Low,North America,2023-06-23,2023-10-16,Joseph Pratt,2024-03-26,False
93,5,Force Let,Culture process claim agency leg parent free various week clear behavior indicate fill site skill church drug see interest.,2021-10-29,High,Africa,2023-09-24,2024-01-10,Danny Hoffman,2023-11-05,True
94,16,Would Item,Oil huge myself campaign hold book man certain relationship learn fast player.,2021-10-08,Low,Australia,2024-05-08,2024-05-15,Luis Brown,2024-06-03,False
95,15,Strategy Particularly,Less carry skill remain receive environment glass watch affect management loss my show research grow.,2020-06-12,Low,Africa,2023-09-18,2023-12-08,Steven Burton,2023-11-26,False
96,12,Large Imagine,From growth story single floor behavior traditional article law never always significant clear truth behind.,2023-02-12,Low,Africa,2024-05-15,2024-05-18,Jonathan Erickson,2024-05-26,False
97,4,High Share,Author resource partner save approach whole after art surface.,2021-12-23,Low,Australia,2023-11-01,2024-05-15,Sherry Hardin,2024-02-26,False
98,5,Both We,Song especially home second table stay easy thus couple leader present country.,2020-12-26,Low,Europe,2023-12-29,2024-02-14,James Snyder,2024-06-10,False
99,17,Stage Start,Argue can under visit page analysis somebody century war action relate market same.,2021-07-13,Low,Europe,2024-04-16,2024-06-13,Samuel Spence,2024-05-06,True
100,15,Guy Political,Set pressure century event end spring south field apply TV side hear claim cost have experience able.,2024-03-28,High,Africa,2024-03-06,2024-03-18,Chad Snyder,2024-03-06,False
